# QE calc. on gaas
# Vol(Ang^3)   Energy (eV)
3.802548567235467658e+01 -6.190572348550857896e+03
3.992675995597240046e+01 -6.190754851220736782e+03
4.182803423959015987e+01 -6.190868296160357204e+03
4.372930852320786244e+01 -6.190927278059397395e+03
4.563058280682560763e+01 -6.190943259305142419e+03
4.753185709044334573e+01 -6.190925203599548695e+03
4.943313137406106961e+01 -6.190880844009742759e+03
5.133440565767877928e+01 -6.190815461585045341e+03
5.323567994129652448e+01 -6.190733661171892891e+03
5.513695422491421994e+01 -6.190639132633938061e+03
5.703822850853200066e+01 -6.190534845005272473e+03
