# QE calc. on germanium
# Vol(Ang^3)   Energy (eV)
3.611074556160000526e+01 -5.800581517352484298e+03
3.791628283968000801e+01 -5.800844951167857289e+03
3.972182011776000365e+01 -5.801027509212902260e+03
4.152735739583999219e+01 -5.801145780363564882e+03
4.333289467392001626e+01 -5.801212882139550857e+03
4.513843195200000480e+01 -5.801239206704416574e+03
4.694396923008001465e+01 -5.801233328637330487e+03
4.874950650815999609e+01 -5.801201581251832067e+03
5.055504378624000594e+01 -5.801149276618220938e+03
5.236058106431999448e+01 -5.801080653317705583e+03
5.416611834240001855e+01 -5.800999145971157304e+03
