# QE calc. on tio2_ana
# Vol(Ang^3)   Energy (eV)
6.865346310329363178e+01 -4.938858801260615110e+03
7.208613625845839579e+01 -4.938939794992292263e+03
7.551880941362306032e+01 -4.938988933037163406e+03
7.895148256878772486e+01 -4.939019517408115462e+03
8.238415572395238939e+01 -4.939038838034887704e+03
8.581682887911712498e+01 -4.939051957731504444e+03
8.924950203428174689e+01 -4.939062564048650529e+03
9.268217518944646827e+01 -4.939070537936521760e+03
9.611484834461117543e+01 -4.939075786604298628e+03
9.954752149977579734e+01 -4.939078549240045504e+03
1.029801946549405756e+02 -4.939079330614932587e+03
