# QE calc. on mos2
# Vol(Ang^3)   Energy (eV)
1.049208502726579866e+02 -5.102127162006079743e+03
1.101668927862909015e+02 -5.103102352832556790e+03
1.154129352999238733e+02 -5.103724844939743889e+03
1.206589778135567457e+02 -5.104065603575908426e+03
1.259050203271896180e+02 -5.104181051545494483e+03
1.311510628408225898e+02 -5.104116162599244490e+03
1.363971053544554195e+02 -5.103907019032162680e+03
1.416431478680883629e+02 -5.103582687092097331e+03
1.468891903817213063e+02 -5.103166823675895102e+03
1.521352328953539654e+02 -5.102678557161901153e+03
1.573812754089871362e+02 -5.102133518857464878e+03
