# QE calc. on germanium
# Vol(Ang^3)   Energy (eV)
3.611074556160000526e+01 -5.800355512523504331e+03
3.791628283968000801e+01 -5.800710998640900470e+03
3.972182011776000365e+01 -5.800957774599470213e+03
4.152735739583999219e+01 -5.801117123102817459e+03
4.333289467392001626e+01 -5.801206264603109048e+03
4.513843195200000480e+01 -5.801239206704416574e+03
4.694396923008001465e+01 -5.801227767718924042e+03
4.874950650815999609e+01 -5.801181006452377005e+03
5.055504378624000594e+01 -5.801106655971899272e+03
5.236058106431999448e+01 -5.801011162246159074e+03
5.416611834240001855e+01 -5.800899799657689073e+03
