# QE calc. on pbs
# Vol(Ang^3)   Energy (eV)
4.326978195680428030e+01 -2.557294757972060779e+03
4.543327105464446447e+01 -2.557454973702212101e+03
4.759676015248466285e+01 -2.557552083648097323e+03
4.976024925032490387e+01 -2.557599448735252281e+03
5.192373834816508094e+01 -2.557607094045662961e+03
5.408722744600530064e+01 -2.557583075237409503e+03
5.625071654384552744e+01 -2.557532956086093691e+03
5.841420564168571161e+01 -2.557462298870691484e+03
6.057769473952593842e+01 -2.557375346118061316e+03
6.274118383736610838e+01 -2.557275583470419861e+03
6.490467293520637782e+01 -2.557165784448066461e+03
