# QE calc. on zro2
# Vol(Ang^3)   Energy (eV)
2.731763391126136042e+01 -2.231307829158556160e+03
2.868351560682442170e+01 -2.231749668153625862e+03
3.004939730238750784e+01 -2.232021919953997440e+03
3.141527899795055490e+01 -2.232158459059047345e+03
3.278116069351362682e+01 -2.232186165145871655e+03
3.414704238907670231e+01 -2.232126475342679441e+03
3.551292408463976358e+01 -2.231996596904115449e+03
3.687880578020284617e+01 -2.231810448316969087e+03
3.824468747576588612e+01 -2.231579326523310101e+03
3.961056917132896871e+01 -2.231312416589705208e+03
4.097645086689202998e+01 -2.231017244232532448e+03
