# QE calc. on nacl
# Vol(Ang^3)   Energy (eV)
3.687691031391055674e+01 -1.749813970101223731e+03
3.872075582960607676e+01 -1.749974888701420241e+03
4.056460134530161099e+01 -1.750071284892707126e+03
4.240844686099712391e+01 -1.750122003510809463e+03
4.425229237669264393e+01 -1.750140808481857675e+03
4.609613789238814974e+01 -1.750137690737551338e+03
4.793998340808369107e+01 -1.750119829321238512e+03
4.978382892377923952e+01 -1.750092342966339402e+03
5.162767443947473112e+01 -1.750058848065768188e+03
5.347151995517027245e+01 -1.750021864121558110e+03
5.531536547086579958e+01 -1.749983139737236115e+03
